frame_number,template_name,frame_family,transitivity,object_definiteness,frame_description,hungarian_example,english_translation
19,tr_ins-indef.,TR-INS,transitive,INDF,Subject + indefinite object + instrumental + verb,Egy ember egy tárgyat egy eszközzel tesz.,A person puts an object with a tool.
20,tr_ins-def.,TR-INS,transitive,DEF,Subject + definite object + instrumental + verb (objective conjugation),Egy ember a tárgyat egy eszközzel teszi.,A person puts the object with a tool.
21,tr_ins_loc-indef.,TR-INS-LOC,transitive,INDF,Subject + indefinite object + instrumental + locative + verb,Egy ember egy tárgyat egy eszközzel egy helyen tesz.,A person puts an object with a tool at a place.
22,tr_ins_loc-def.,TR-INS-LOC,transitive,DEF,Subject + definite object + instrumental + locative + verb (objective conjugation),Egy ember a tárgyat egy eszközzel egy helyen teszi.,A person puts the object with a tool at a place.
23,tr_ins_dat-indef.,TR-INS-DAT,transitive,INDF,Subject + indefinite object + instrumental + dative + verb,Egy ember egy tárgyat egy eszközzel egy csoportnak tesz.,A person puts an object with a tool for a group.
24,tr_ins_dat-def.,TR-INS-DAT,transitive,DEF,Subject + definite object + instrumental + dative + verb (objective conjugation),Egy ember a tárgyat egy eszközzel egy csoportnak teszi.,A person puts the object with a tool for a group.
25,tr_loc_dat-indef.,TR-LOC-DAT,transitive,INDF,Subject + indefinite object + locative + dative + verb,Egy ember egy tárgyat egy helyen egy csoportnak tesz.,A person puts an object at a place for a group.
26,tr_loc_dat-def.,TR-LOC-DAT,transitive,DEF,Subject + definite object + locative + dative + verb (objective conjugation),Egy ember a tárgyat egy helyen egy csoportnak teszi.,A person puts the object at a place for a group.
27,tr_goal-indef.,TR-GOAL,transitive,INDF,Subject + indefinite object + goal + verb,Egy ember egy tárgyat egy helyre tesz.,A person puts an object to a place.
28,tr_goal-def.,TR-GOAL,transitive,DEF,Subject + definite object + goal + verb (objective conjugation),Egy ember a tárgyat egy helyre teszi.,A person puts the object to a place.
29,tr_src-indef.,TR-SRC,transitive,INDF,Subject + indefinite object + source + verb,Egy ember egy tárgyat egy helyről tesz.,A person puts an object from a place.
30,tr_src-def.,TR-SRC,transitive,DEF,Subject + definite object + source + verb (objective conjugation),Egy ember a tárgyat egy helyről teszi.,A person puts the object from a place.
31,tr_com-indef.,TR-COM,transitive,INDF,Subject + indefinite object + comitative + verb,Egy ember egy tárgyat egy emberrel tesz.,A person puts an object with a person.
32,tr_com-def.,TR-COM,transitive,DEF,Subject + definite object + comitative + verb (objective conjugation),Egy ember a tárgyat egy emberrel teszi.,A person puts the object with a person.
33,tr_ter-indef.,TR-TER,transitive,INDF,Subject + indefinite object + terminative + verb,Egy ember egy tárgyat egy helyig tesz.,A person puts an object as far as a place.
34,tr_ter-def.,TR-TER,transitive,DEF,Subject + definite object + terminative + verb (objective conjugation),Egy ember a tárgyat egy helyig teszi.,A person puts the object as far as a place.
35,tr_init-indef.,TR-INIT,transitive,INDF,Subject + indefinite object + starting-point + verb,Egy ember egy tárgyat egy helytől tesz.,A person puts an object from a place.
36,tr_init-def.,TR-INIT,transitive,DEF,Subject + definite object + starting-point + verb (objective conjugation),Egy ember a tárgyat egy helytől teszi.,A person puts the object from a place.
37,subj_nom-verb-hogy_ind.,HOGY-IND,,,Subject + finite direct-object hogy-clause + verb,"Egy ember mondja, hogy egy esemény történik.",A person works that an event is happening.
38,subj_nom-eppen-verb_prs.,INTR-ONGOING,,,Subject + éppen (present) + verb,Egy ember éppen dolgozik.,A person is right now working.
39,subj_nom-eppen-obj_acc-indf-verb_prs.,TR-ONGOING,,INDF,Subject + éppen (present) + verb,Egy ember éppen egy tárgyat dolgozik.,A person is right now working.
40,subj_nom-eppen-obj_acc-def-verb_prs.,TR-ONGOING,,DEF,Subject + éppen (present) + verb (objective conjugation),Egy ember éppen a tárgyat dolgozik.,A person is right now working.
41,subj_nom-eppen-verb_pst.,INTR-ONGOING,,,Subject + éppen (past) + verb,Egy ember éppen dolgozott.,A person worked.
42,subj_nom-eppen-obj_acc-indf-verb_pst.,TR-ONGOING,,INDF,Subject + éppen (past) + verb,Egy ember éppen egy tárgyat dolgozott.,A person worked.
43,subj_nom-eppen-obj_acc-def-verb_pst.,TR-ONGOING,,DEF,Subject + éppen (past) + verb (objective conjugation),Egy ember éppen a tárgyat dolgozott.,A person worked.
44,subj_nom-spostp_ess-verb.,SPOSTP-ESS,intransitive,,Subject + essive bare postposition + verb,Egy ember egy hely mögött dolgozik.,A person works behind a place.
45,tr_spostp_ess-indef.,SPOSTP-ESS,transitive,INDF,Subject + indefinite object + essive bare postposition + verb,Egy ember egy tárgyat egy hely mögött tesz.,A person puts an object behind a place.
46,tr_spostp_ess-def.,SPOSTP-ESS,transitive,DEF,Subject + definite object + essive bare postposition + verb (objective conjugation),Egy ember a tárgyat egy hely mögött teszi.,A person puts the object behind a place.
47,subj_nom-spostp_lat-verb.,SPOSTP-LAT,intransitive,,Subject + lative bare postposition + verb,Egy ember egy hely mögé megy.,A person goes to behind a place.
48,tr_spostp_lat-indef.,SPOSTP-LAT,transitive,INDF,Subject + indefinite object + lative bare postposition + verb,Egy ember egy tárgyat egy hely mögé tesz.,A person puts an object to behind a place.
49,tr_spostp_lat-def.,SPOSTP-LAT,transitive,DEF,Subject + definite object + lative bare postposition + verb (objective conjugation),Egy ember a tárgyat egy hely mögé teszi.,A person puts the object to behind a place.
50,subj_nom-spostp_abl-verb.,SPOSTP-ABL,intransitive,,Subject + ablative bare postposition + verb,Egy ember egy hely mögül megy.,A person goes from behind a place.
51,tr_spostp_abl-indef.,SPOSTP-ABL,transitive,INDF,Subject + indefinite object + ablative bare postposition + verb,Egy ember egy tárgyat egy hely mögül tesz.,A person puts an object from behind a place.
52,tr_spostp_abl-def.,SPOSTP-ABL,transitive,DEF,Subject + definite object + ablative bare postposition + verb (objective conjugation),Egy ember a tárgyat egy hely mögül teszi.,A person puts the object from behind a place.
53,subj_nom-cpostp-verb.,CPOSTP,intransitive,,Subject + case-governing postposition + verb,Egy ember egy ember szerint dolgozik.,A person works according to a person.
54,tr_cpostp-indef.,CPOSTP,transitive,INDF,Subject + indefinite object + case-governing postposition + verb,Egy ember egy tárgyat egy ember szerint tesz.,A person puts an object according to a person.
55,tr_cpostp-def.,CPOSTP,transitive,DEF,Subject + definite object + case-governing postposition + verb (objective conjugation),Egy ember a tárgyat egy ember szerint teszi.,A person puts the object according to a person.
